RK	NAME	TEAM	SALARY
208	Justin Holiday, SG	Chicago Bulls	$4,615,385
209	De'Aaron Fox, PG	Sacramento Kings	$4,609,200
210	Marcus Smart, PG	Boston Celtics	$4,538,020
211	Kristaps Porzingis, PF	New York Knicks	$4,503,600
212	Dragan Bender, PF	Phoenix Suns	$4,468,800
213	Devin Harris, PG	Dallas Mavericks	$4,402,546
214	Greivis Vasquez, PG	Brooklyn Nets	$4,347,826
215	Ron Baker, SG	New York Knicks	$4,328,000
216	Aron Baynes, C	Boston Celtics	$4,328,000
217	Alex Len, C	Phoenix Suns	$4,187,599
218	Nerlens Noel, C	Dallas Mavericks	$4,187,599
219	Jonathan Isaac, PF	Orlando Magic	$4,186,320
220	Lance Stephenson, SG	Indiana Pacers	$4,180,000
221	Julius Randle, PF	Los Angeles Lakers	$4,149,242
222	Kyle O'Quinn, C	New York Knicks	$4,087,500
223	Kris Dunn, PG	Chicago Bulls	$4,046,760
224	Leandro Barbosa, SG	Phoenix Suns	$4,000,000
225	Jonas Jerebko, PF	Utah Jazz	$4,000,000
226	Jordan Hill, C	Minnesota Timberwolves	$4,000,000
227	Nemanja Bjelica, PF	Minnesota Timberwolves	$3,949,999
228	Mario Hezonja, SG	Orlando Magic	$3,909,840
229	J.J. Barea, PG	Dallas Mavericks	$3,903,900
230	Quincy Pondexter, SG	Chicago Bulls	$3,853,931
231	Lauri Markkanen, PF	Chicago Bulls	$3,821,640
232	Nik Stauskas, SG	Philadelphia 76ers	$3,807,147
233	Willie Cauley-Stein, C	Sacramento Kings	$3,704,160
234	Buddy Hield, SG	Sacramento Kings	$3,675,480
235	Drew Gooden, PF	Washington Wizards	$3,547,000
236	Will Barton, SG	Denver Nuggets	$3,533,333
237	Paul Pierce, SF	LA Clippers	$3,527,920
238	Noah Vonleh, PF	Portland Trail Blazers	$3,505,233
239	Frank Ntilikina, PG	New York Knicks	$3,501,120
240	Mike Miller, SG	Denver Nuggets	$3,500,000
241	Nene Hilario, C	Houston Rockets	$3,477,600
242	Zaza Pachulia, C	Golden State Warriors	$3,477,600
243	Troy Daniels, SG	Phoenix Suns	$3,408,520
244	Emmanuel Mudiay, PG	Denver Nuggets	$3,381,480
245	Jamal Murray, PG	Denver Nuggets	$3,355,320
246	Elfrid Payton, PG	Orlando Magic	$3,332,340
247	Rajon Rondo, PG	New Orleans Pelicans	$3,300,000
248	Doug McDermott, SF	New York Knicks	$3,294,994
249	Tyreke Evans, SG	Memphis Grizzlies	$3,290,000
250	Tarik Black, PF	Houston Rockets	$3,290,000
251	Anthony Tolliver, PF	Detroit Pistons	$3,290,000
252	Dennis Smith Jr., PG	Dallas Mavericks	$3,218,280
253	Zach LaVine, PG	Chicago Bulls	$3,202,218
254	Ekpe Udoh, C	Utah Jazz	$3,200,000
255	TJ Warren, SF	Phoenix Suns	$3,152,931
256	Stanley Johnson, SF	Detroit Pistons	$3,097,800
257	Marquese Chriss, PF	Phoenix Suns	$3,073,800
258	Zach Collins, C	Portland Trail Blazers	$3,057,240
